,LOCATION,Measure,Period,Value
41,AUT,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",2020,496544.0
42,BEL,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",2000,284826.1
43,BEL,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",2001,296130.7
44,BEL,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",2002,312899.4
45,BEL,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",2003,320964.4
46,BEL,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",2004,334134.1
47,BEL,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",2005,347657.8
48,BEL,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",2006,371911.9
49,BEL,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",2007,390932.3
50,BEL,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",2008,405728.2
51,BEL,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",2009,407562.7
52,BEL,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",2010,434080.9
53,BEL,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",2011,451932.9
54,BEL,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",2012,469720.7
55,BEL,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",2013,487343.8
56,BEL,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",2014,503620.5
57,BEL,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",2015,520878.6
58,BEL,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",2016,550677.2
59,BEL,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",2017,573788.4
60,BEL,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",2018,600241.5
61,BEL,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",2019,623500.1
62,BEL,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",2020,612873.5
63,CAN,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",2000,901003.3
64,CAN,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",2001,937793.0
65,CAN,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",2002,971009.1
66,CAN,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",2003,1023686.5
67,CAN,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",2004,1083615.2
68,CAN,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",2005,1171340.2
69,CAN,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",2006,1241618.9
70,CAN,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",2007,1301593.9
71,CAN,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",2008,1342396.6
72,CAN,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",2009,1307000.7
73,CAN,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",2010,1363579.0
74,CAN,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",2011,1430807.1
75,CAN,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",2012,1468095.0
76,CAN,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",2013,1554122.7
77,CAN,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",2014,1621396.7
78,CAN,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",2015,1594850.8
79,CAN,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",2016,1678093.4
80,CAN,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",2017,1765763.2
81,CAN,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",2018,1852987.8
82,CAN,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",2019,1853711.5
83,CAN,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",2020,1771474.0
84,CZE,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",2000,166495.9
85,CZE,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",2001,180027.4
86,CZE,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",2002,186119.9
87,CZE,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",2003,199171.1
88,CZE,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",2004,213446.5
89,CZE,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",2005,225620.8
90,CZE,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",2006,244952.5
91,CZE,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",2007,270677.7
92,CZE,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",2008,290503.9
93,CZE,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",2009,289939.4
94,CZE,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",2010,292047.2
95,CZE,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",2011,304400.9
96,CZE,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",2012,307490.2
97,CZE,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",2013,324030.0
98,CZE,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",2014,342099.8
99,CZE,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",2015,357503.9
100,CZE,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",2016,381420.3
101,CZE,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",2017,411327.9
102,CZE,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",2018,437267.3
103,CZE,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",2019,457257.7
104,CZE,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",2020,445116.7
105,DNK,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",2000,153023.4
106,DNK,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",2001,157748.2
107,DNK,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",2002,164720.4
108,DNK,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",2003,166139.6
109,DNK,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",2004,178017.9
110,DNK,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",2005,185074.5
111,DNK,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",2006,202997.2
112,DNK,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",2007,213029.9
113,DNK,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",2008,226767.5
114,DNK,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",2009,222754.2
115,DNK,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",2010,238567.3
116,DNK,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",2011,247352.2
117,DNK,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",2012,250524.6
118,DNK,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",2013,262368.1
119,DNK,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",2014,270330.6
120,DNK,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",2015,278748.4
121,DNK,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",2016,297719.1
122,DNK,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",2017,319130.2
123,DNK,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",2018,333035.3
124,DNK,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",2019,341312.3
125,DNK,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",2020,351225.0
126,FIN,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",2000,138643.3
127,FIN,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",2001,144204.2
128,FIN,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",2002,148763.8
129,FIN,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",2003,151445.9
130,FIN,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",2004,163128.1
131,FIN,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",2005,168146.8
132,FIN,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",2006,181449.9
133,FIN,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",2007,200116.4
134,FIN,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",2008,212980.7
135,FIN,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",2009,202729.1
136,FIN,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",2010,208937.3
137,FIN,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",2011,220471.2
138,FIN,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",2012,221285.6
139,FIN,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",2013,225680.0
140,FIN,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",2014,228058.6
141,FIN,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",2015,232867.6
142,FIN,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",2016,246928.5
143,FIN,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",2017,262026.6
144,FIN,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",2018,273463.0
145,FIN,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",2019,277855.7
146,FIN,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",2020,281659.1
147,FRA,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",2000,1589245.7
148,FRA,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",2001,1686717.0
149,FRA,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",2002,1762924.8
150,FRA,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",2003,1753605.2
151,FRA,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",2004,1822230.1
152,FRA,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",2005,1926879.3
153,FRA,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",2006,2065693.1
154,FRA,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",2007,2184319.7
155,FRA,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",2008,2259255.8
156,FRA,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",2009,2243920.4
157,FRA,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",2010,2334677.1
158,FRA,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",2011,2446473.4
159,FRA,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",2012,2474005.3
160,FRA,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",2013,2608522.3
161,FRA,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",2014,2662032.9
162,FRA,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",2015,2718495.1
163,FRA,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",2016,2864104.3
164,FRA,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",2017,2983010.7
165,FRA,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",2018,3125378.5
166,FRA,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",2019,3300063.8
167,FRA,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",2020,3166263.5
168,DEU,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",2000,2236073.5
169,DEU,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",2001,2336146.3
170,DEU,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",2002,2406900.9
171,DEU,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",2003,2468444.5
172,DEU,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",2004,2585551.5
173,DEU,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",2005,2622039.8
174,DEU,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",2006,2814006.8
175,DEU,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",2007,2985239.4
176,DEU,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",2008,3103958.2
177,DEU,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",2009,3015301.3
178,DEU,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",2010,3185430.7
179,DEU,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",2011,3415020.0
180,DEU,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",2012,3487234.4
181,DEU,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",2013,3628559.3
182,DEU,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",2014,3807114.5
183,DEU,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",2015,3889081.9
184,DEU,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",2016,4165169.9
185,DEU,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",2017,4386729.2
186,DEU,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",2018,4579333.4
187,DEU,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",2019,4624364.6
188,DEU,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",2020,4560919.1
189,GRC,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",2000,210888.2
190,GRC,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",2001,227613.6
191,GRC,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",2002,246559.3
192,GRC,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",2003,261143.9
193,GRC,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",2004,278923.0
194,GRC,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",2005,281028.4
195,GRC,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",2006,314621.9
196,GRC,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",2007,323944.2
197,GRC,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",2008,341817.8
198,GRC,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",2009,337199.6
199,GRC,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",2010,310431.2
200,GRC,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",2011,285079.6
201,GRC,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",2012,275143.7
202,GRC,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",2013,284949.1
203,GRC,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",2014,290011.4
204,GRC,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",2015,289570.6
205,GRC,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",2016,296466.6
206,GRC,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",2017,307636.0
207,GRC,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",2018,317881.5
208,GRC,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",2019,325467.1
209,GRC,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",2020,299066.3
210,HUN,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",2000,121032.5
211,HUN,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",2001,134556.7
212,HUN,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",2002,147567.9
213,HUN,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",2003,156818.8
214,HUN,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",2004,164463.5
215,HUN,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",2005,172611.9
216,HUN,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",2006,185206.6
217,HUN,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",2007,192063.9
218,HUN,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",2008,208070.4
219,HUN,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",2009,207767.4
220,HUN,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",2010,217518.8
221,HUN,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",2011,229736.7
222,HUN,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",2012,230898.7
223,HUN,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",2013,242941.6
224,HUN,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",2014,253565.8
225,HUN,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",2015,263858.1
226,HUN,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",2016,274278.8
227,HUN,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",2017,288756.0
228,HUN,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",2018,311968.3
229,HUN,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",2019,327479.2
230,HUN,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",2020,322495.2
231,ISL,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",2000,8374.0
232,ISL,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",2001,9083.6
233,ISL,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",2002,9375.3
234,ISL,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",2003,9467.1
235,ISL,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",2004,10402.6
236,ISL,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",2005,11074.9
237,ISL,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",2006,12060.2
238,ISL,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",2007,12918.6
239,ISL,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",2008,13879.9
240,ISL,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",2009,13333.7
241,ISL,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",2010,12650.2
242,ISL,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",2011,13059.4
243,ISL,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",2012,13471.5
244,ISL,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",2013,14378.3
245,ISL,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",2014,15058.8
246,ISL,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",2015,16276.4
247,ISL,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",2016,17939.4
248,ISL,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",2017,19106.3
249,ISL,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",2018,20177.4
250,ISL,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",2019,20985.1
251,ISL,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",2020,19564.1
252,IRL,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",2000,114937.7
253,IRL,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",2001,125913.1
254,IRL,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",2002,138490.8
255,IRL,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",2003,145005.8
256,IRL,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",2004,157655.2
257,IRL,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",2005,168336.1
258,IRL,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",2006,189031.1
259,IRL,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",2007,205753.8
260,IRL,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",2008,198299.1
261,IRL,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",2009,188086.9
262,IRL,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",2010,197013.0
263,IRL,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",2011,206471.1
264,IRL,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",2012,213241.0
265,IRL,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",2013,221160.0
266,IRL,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",2014,238002.3
267,IRL,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",2015,324570.2
268,IRL,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",2016,339999.9
269,IRL,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",2017,373770.6
270,IRL,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",2018,411558.7
271,IRL,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",2019,431161.0
272,IRL,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",2020,465413.3
273,ITA,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",2000,1541560.8
274,ITA,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",2001,1597196.4
275,ITA,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",2002,1639680.5
276,ITA,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",2003,1673370.0
277,ITA,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",2004,1704872.9
278,ITA,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",2005,1746658.1
279,ITA,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",2006,1886981.5
280,ITA,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",2007,1995154.5
281,ITA,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",2008,2089717.4
282,ITA,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",2009,2044872.3
283,ITA,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",2010,2084102.9
284,ITA,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",2011,2173170.0
285,ITA,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",2012,2172383.1
286,ITA,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",2013,2187375.1
287,ITA,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",2014,2200256.3
288,ITA,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",2015,2240922.6
289,ITA,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",2016,2420672.0
290,ITA,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",2017,2517184.3
291,ITA,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",2018,2600326.7
292,ITA,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",2019,2650549.1
293,ITA,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",2020,2496155.2
294,JPN,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",2000,3461199.2
295,JPN,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",2001,3552841.4
296,JPN,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",2002,3647933.2
297,JPN,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",2003,3753919.2
298,JPN,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",2004,3938955.0
299,JPN,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",2005,4110439.7
300,JPN,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",2006,4300322.2
301,JPN,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",2007,4482080.5
302,JPN,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",2008,4517267.5
303,JPN,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",2009,4295629.0
304,JPN,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",2010,4525401.3
305,JPN,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",2011,4629400.5
306,JPN,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",2012,4799613.8
307,JPN,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",2013,5021591.1
308,JPN,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",2014,5034455.6
309,JPN,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",2015,5199915.2
310,JPN,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",2016,5158900.4
311,JPN,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",2017,5262255.0
312,JPN,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",2018,5340831.2
313,JPN,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",2019,5354366.3
