,LOCATION,Measure,Year,Value
46,CZE,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2011,0.239
47,CZE,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2012,0.248
48,CZE,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2013,0.217
49,CZE,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2014,0.236
50,CZE,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2015,0.214
51,CZE,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2016,0.236
52,CZE,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2017,0.218
53,CZE,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2018,0.199
54,CZE,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2019,0.203
55,DNK,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2011,0.294
56,DNK,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2012,0.305
57,DNK,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2013,0.308
58,DNK,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2014,0.307
59,DNK,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2015,0.31
60,DNK,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2016,0.299
61,DNK,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2017,0.294
62,DNK,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2018,0.289
63,FIN,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2000,0.218
64,FIN,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2001,0.221
65,FIN,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2002,0.218
66,FIN,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2003,0.229
67,FIN,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2004,0.208
68,FIN,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2005,0.209
69,FIN,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2006,0.206
70,FIN,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2007,0.206
71,FIN,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2008,0.209
72,FIN,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2009,0.208
73,FIN,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2010,0.217
74,FIN,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2011,0.208
75,FIN,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2012,0.226
76,FIN,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2013,0.21
77,FIN,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2014,0.213
78,FIN,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2015,0.223
79,FIN,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2016,0.225
80,FIN,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2017,0.21
81,FIN,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2018,0.212
82,FRA,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2012,0.262
83,FRA,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2013,0.244
84,FRA,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2014,0.257
85,FRA,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2015,0.238
86,FRA,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2016,0.239
87,FRA,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2017,0.253
88,FRA,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2018,0.242
89,FRA,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2019,0.261
90,DEU,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2008,0.237
91,DEU,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2011,0.236
92,DEU,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2012,0.218
93,DEU,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2013,0.227
94,DEU,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2014,0.257
95,DEU,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2015,0.256
96,DEU,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2016,0.265
97,DEU,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2017,0.251
98,DEU,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2018,0.256
99,GRC,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2004,0.309
100,GRC,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2005,0.292
101,GRC,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2006,0.316
102,GRC,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2007,0.31
103,GRC,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2008,0.297
104,GRC,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2009,0.304
105,GRC,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2010,0.343
106,GRC,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2011,0.395
107,GRC,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2012,0.387
108,GRC,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2013,0.347
109,GRC,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2014,0.389
110,GRC,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2015,0.379
111,GRC,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2016,0.353
112,GRC,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2017,0.336
113,GRC,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2018,0.292
114,GRC,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2019,0.331
115,HUN,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2006,0.231
116,HUN,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2007,0.226
117,HUN,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2008,0.198
118,HUN,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2009,0.191
119,HUN,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2010,0.199
120,HUN,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2011,0.219
121,HUN,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2012,0.25
122,HUN,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2013,0.234
123,HUN,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2014,0.291
124,HUN,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2015,0.327
125,HUN,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2016,0.426
126,HUN,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2017,0.349
127,HUN,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2018,0.32
128,HUN,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2019,0.343
129,ISL,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2004,0.306
130,ISL,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2005,0.306
131,ISL,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2006,0.281
132,ISL,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2007,0.247
133,ISL,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2008,0.279
134,ISL,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2009,0.299
135,ISL,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2010,0.298
136,ISL,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2011,0.334
137,ISL,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2012,0.282
138,ISL,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2013,0.301
139,ISL,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2014,0.334
140,ISL,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2015,0.271
141,ISL,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2016,0.269
142,ISL,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2017,0.267
143,IRL,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2004,0.203
144,IRL,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2005,0.185
145,IRL,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2006,0.218
146,IRL,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2007,0.21
147,IRL,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2008,0.228
148,IRL,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2009,0.299
149,IRL,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2010,0.326
150,IRL,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2011,0.294
151,IRL,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2012,0.277
152,IRL,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2013,0.302
153,IRL,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2014,0.254
154,IRL,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2015,0.232
155,IRL,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2016,0.237
156,IRL,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2017,0.223
157,IRL,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2018,0.187
158,ITA,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2004,0.332
159,ITA,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2005,0.337
160,ITA,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2006,0.334
161,ITA,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2007,0.332
162,ITA,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2008,0.332
163,ITA,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2009,0.342
164,ITA,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2010,0.377
165,ITA,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2011,0.369
166,ITA,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2012,0.401
167,ITA,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2013,0.399
168,ITA,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2014,0.397
169,ITA,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2015,0.437
170,ITA,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2016,0.408
171,ITA,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2017,0.404
172,ITA,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2018,0.396
173,KOR,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2015,0.354
174,KOR,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2016,0.351
175,KOR,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2017,0.355
176,KOR,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2018,0.342
177,LUX,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2015,0.285
178,LUX,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2016,0.288
179,LUX,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2017,0.352
180,LUX,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2018,0.325
181,LUX,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2019,0.25
182,MEX,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2012,0.384
183,MEX,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2014,0.334
184,MEX,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2016,0.335
185,MEX,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2018,0.323
186,NLD,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2011,0.311
187,NLD,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2012,0.317
188,NLD,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2013,0.314
189,NLD,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2014,0.31
190,NLD,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2015,0.331
191,NLD,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2016,0.309
192,NLD,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2017,0.315
193,NLD,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2018,0.32
194,NLD,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2019,0.324
195,NZL,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2011,0.258
196,NZL,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2012,0.233
197,NZL,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2014,0.262
198,NOR,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2004,0.317
199,NOR,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2008,0.336
200,NOR,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2009,0.362
201,NOR,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2010,0.367
202,NOR,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2011,0.369
203,NOR,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2012,0.368
204,NOR,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2013,0.356
205,NOR,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2014,0.353
206,NOR,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2015,0.352
207,NOR,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2016,0.353
208,NOR,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2017,0.343
209,NOR,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2018,0.337
210,NOR,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2019,0.35
211,POL,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2005,0.294
212,POL,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2006,0.273
213,POL,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2007,0.277
214,POL,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2008,0.249
215,POL,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2009,0.267
216,POL,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2010,0.28
217,POL,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2011,0.272
218,POL,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2012,0.269
219,POL,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2013,0.271
220,POL,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2014,0.292
221,POL,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2015,0.288
222,POL,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2016,0.284
223,POL,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2017,0.286
224,POL,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2018,0.282
225,PRT,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2004,0.289
226,PRT,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2005,0.295
227,PRT,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2006,0.265
228,PRT,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2007,0.259
229,PRT,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2008,0.269
230,PRT,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2009,0.259
231,PRT,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2010,0.247
232,PRT,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2011,0.287
233,PRT,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2012,0.31
234,PRT,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2013,0.326
235,PRT,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2014,0.299
236,PRT,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2015,0.296
237,PRT,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2016,0.294
238,PRT,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2017,0.28
239,PRT,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2018,0.287
240,PRT,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2019,0.266
241,SVK,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2004,0.25
242,SVK,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2005,0.263
243,SVK,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2006,0.277
244,SVK,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2007,0.268
245,SVK,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2008,0.29
246,SVK,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2009,0.313
247,SVK,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2010,0.31
248,SVK,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2011,0.301
249,SVK,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2012,0.299
250,SVK,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2013,0.332
251,SVK,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2014,0.343
252,SVK,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2015,0.338
253,SVK,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2016,0.403
254,SVK,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2017,0.321
255,SVK,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2018,0.347
256,SVK,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2019,0.284
257,ESP,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2007,0.311
258,ESP,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2008,0.317
259,ESP,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2009,0.347
260,ESP,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2010,0.352
261,ESP,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2011,0.379
262,ESP,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2012,0.384
263,ESP,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2013,0.38
264,ESP,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2014,0.403
265,ESP,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2015,0.378
266,ESP,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2016,0.389
267,ESP,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2017,0.346
268,ESP,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2018,0.366
269,ESP,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2019,0.356
270,SWE,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2013,0.246
271,SWE,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2014,0.239
272,SWE,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2015,0.228
273,SWE,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2016,0.225
274,SWE,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2017,0.225
275,SWE,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2018,0.23
276,SWE,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2019,0.233
277,CHE,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2006,0.298
278,CHE,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2007,0.317
279,CHE,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2008,0.286
280,CHE,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2009,0.268
281,CHE,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2010,0.289
282,CHE,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2011,0.252
283,CHE,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2012,0.238
284,CHE,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2013,0.243
285,CHE,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2014,0.24
286,CHE,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2015,0.262
287,CHE,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2016,0.263
288,CHE,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2017,0.274
289,CHE,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2018,0.281
290,TUR,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2011,0.308
291,TUR,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2012,0.302
292,TUR,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2013,0.294
293,TUR,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2014,0.306
294,TUR,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2015,0.282
295,TUR,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2017,0.264
296,TUR,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2018,0.284
297,GBR,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2002,0.284
298,GBR,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2003,0.293
299,GBR,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2004,0.294
300,GBR,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2005,0.296
301,GBR,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2006,0.311
302,GBR,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2007,0.306
303,GBR,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2008,0.324
304,GBR,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2009,0.325
305,GBR,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2010,0.316
306,GBR,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2011,0.302
307,GBR,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2012,0.332
308,GBR,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2013,0.306
309,GBR,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2014,0.316
310,GBR,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2015,0.322
311,GBR,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2016,0.355
312,GBR,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2017,0.344
313,GBR,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2018,0.368
314,GBR,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2019,0.326
315,USA,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2013,0.402
316,USA,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2014,0.405
317,USA,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2015,0.4
318,USA,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2016,0.398
319,USA,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2017,0.388
320,USA,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2018,0.376
321,USA,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2019,0.368
322,EST,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2013,0.294
323,EST,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2014,0.283
324,EST,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2015,0.267
325,EST,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2016,0.265
326,EST,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2017,0.261
327,EST,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2018,0.262
328,EST,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2019,0.273
329,ISR,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2011,0.334
330,ISR,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2012,0.352
331,ISR,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2013,0.384
332,ISR,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2014,0.352
333,ISR,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2015,0.321
334,ISR,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2016,0.318
335,ISR,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2017,0.329
336,ISR,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2018,0.325
337,SVN,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2004,0.241
338,SVN,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2005,0.247
339,SVN,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2006,0.23
340,SVN,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2007,0.239
